sim_time,avg_wait_time,max_wait_time,throughput_per_min,queue_n,queue_s,queue_e,queue_w
1.0,1.0,1.0,60.0,0,0,1,0
2.0,1.3333333333333333,2.0,30.0,0,0,2,1
3.0,2.3333333333333335,3.0,40.0,0,0,2,1
4.0,2.75,4.0,30.0,0,0,3,1
5.0,2.8333333333333335,5.0,48.0,0,0,4,2
6.0,3.8333333333333335,6.0,50.0,0,0,4,2
7.0,4.833333333333333,7.0,42.85714285714286,0,0,4,2
8.0,5.833333333333333,8.0,37.5,0,0,4,2
9.0,6.0,9.0,33.333333333333336,0,1,4,2
10.0,6.0,9.0,42.0,0,1,3,1
11.0,4.0,8.0,49.09090909090909,0,2,3,0
12.0,3.4,8.0,55.0,0,3,2,0
13.0,3.25,5.0,55.38461538461539,0,3,1,0
14.0,4.333333333333333,6.0,60.0,0,3,0,0
15.0,5.333333333333333,7.0,64.0,0,3,0,0
16.0,6.333333333333333,8.0,63.75,0,3,0,0
17.0,7.333333333333333,9.0,60.0,0,3,0,0
18.0,8.333333333333334,10.0,60.0,0,3,0,0
19.0,7.25,11.0,60.0,1,3,0,0
20.0,6.8,12.0,57.0,1,4,0,0
21.0,5.0,11.0,60.0,1,3,1,0
22.0,4.25,11.0,62.72727272727273,1,2,1,0
23.0,2.25,4.0,65.21739130434783,0,2,1,1
24.0,2.25,4.0,65.0,0,1,2,1
25.0,2.75,5.0,64.80000000000001,0,0,2,2
26.0,3.75,6.0,64.61538461538461,0,0,2,2
27.0,4.0,7.0,66.66666666666667,0,0,3,2
28.0,4.333333333333333,8.0,64.28571428571428,0,0,4,2
29.0,4.714285714285714,9.0,62.06896551724138,1,0,4,2
30.0,4.4,7.0,64.0,1,0,3,1
31.0,3.25,5.0,65.80645161290322,1,0,2,1
32.0,2.4,5.0,67.5,2,0,2,1
33.0,2.0,5.0,69.0909090909091,2,1,2,1
34.0,2.8,6.0,70.58823529411765,2,1,1,1
35.0,3.75,7.0,72.0,2,2,0,0
36.0,4.75,8.0,73.33333333333334,2,2,0,0
37.0,4.8,9.0,74.5945945945946,2,3,0,0
38.0,4.0,10.0,72.63157894736842,3,3,1,1
39.0,3.2857142857142856,8.0,73.84615384615385,2,2,1,2
40.0,2.6666666666666665,4.0,75.0,1,1,1,3
41.0,2.2857142857142856,4.0,76.09756097560975,0,1,2,4
42.0,3.5,5.0,77.14285714285715,0,0,2,4
43.0,4.0,6.0,76.74418604651163,0,0,2,5
44.0,4.5,7.0,76.36363636363636,0,0,2,6
45.0,5.0,8.0,74.66666666666667,0,0,2,7
46.0,6.0,9.0,73.04347826086956,0,0,2,7
47.0,5.5,10.0,71.48936170212765,1,1,3,7
48.0,4.833333333333333,10.0,72.5,1,1,3,7
49.0,4.636363636363637,10.0,73.46938775510205,1,2,2,6
50.0,4.8,10.0,74.4,1,3,1,5
